Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 935, Recent Actor Losses: [tensor(-32.0255, device='cuda:0')], Recent Critic Losses: [tensor(1.0718, device='cuda:0')]
Episode: 940, Recent Actor Losses: [tensor(-31.4458, device='cuda:0')], Recent Critic Losses: [tensor(0.4312, device='cuda:0')]
Episode: 945, Recent Actor Losses: [tensor(-31.6004, device='cuda:0')], Recent Critic Losses: [tensor(0.4362, device='cuda:0')]
Episode: 950, Recent Actor Losses: [tensor(-29.4158, device='cuda:0')], Recent Critic Losses: [tensor(0.1814, device='cuda:0')]
Episode: 955, Recent Actor Losses: [tensor(-28.9427, device='cuda:0')], Recent Critic Losses: [tensor(0.8419, device='cuda:0')]
Episode: 960, Recent Actor Losses: [tensor(-31.5296, device='cuda:0')], Recent Critic Losses: [tensor(1.0673, device='cuda:0')]
Episode: 965, Recent Actor Losses: [tensor(-29.2724, device='cuda:0')], Recent Critic Losses: [tensor(0.9303, device='cuda:0')]
Episode: 970, Recent Actor Losses: [tensor(-29.6033, device='cuda:0')], Recent Critic Losses: [tensor(0.3368, device='cuda:0')]
Episode: 975, Recent Actor Losses: [tensor(-29.7504, device='cuda:0')], Recent Critic Losses: [tensor(1.2595, device='cuda:0')]
Episode: 980, Recent Actor Losses: [tensor(-32.0919, device='cuda:0')], Recent Critic Losses: [tensor(0.5091, device='cuda:0')]
Episode: 985, Recent Actor Losses: [tensor(-30.4101, device='cuda:0')], Recent Critic Losses: [tensor(0.6501, device='cuda:0')]
Episode: 990, Recent Actor Losses: [tensor(-31.6850, device='cuda:0')], Recent Critic Losses: [tensor(0.5376, device='cuda:0')]
Episode: 995, Recent Actor Losses: [tensor(-29.3542, device='cuda:0')], Recent Critic Losses: [tensor(0.2224, device='cuda:0')]
Episode: 1000, Recent Actor Losses: [tensor(-30.7301, device='cuda:0')], Recent Critic Losses: [tensor(0.3444, device='cuda:0')]
Episode: 1005, Recent Actor Losses: [tensor(-31.6061, device='cuda:0')], Recent Critic Losses: [tensor(0.9891, device='cuda:0')]
Episode: 1010, Recent Actor Losses: [tensor(-31.7321, device='cuda:0')], Recent Critic Losses: [tensor(0.6207, device='cuda:0')]
